ID_Venda;Data_Venda;Produto;Categoria;Preco_Unitario;Quantidade;Cliente;Região;Forma_Pagamento
1;26/03/2024;Camiseta;Vestuário;194.67;5;Maysa Mendes;Nordeste;Boleto
2;02/12/2024;Ar-condicionado;Eletrodomésticos;1380.59;5;Agatha Ferreira;Centro-Oeste;Cartão de Crédito
3;15/02/2023;Skate;Esporte;356.88;3;Isadora Fernandes;Sul;Boleto
4;09/01/2024;Guarda-roupa;Móveis;1273.08;2;Srta. Maria Isis Leão;Centro-Oeste;Cartão de Débito
5;13/03/2025;Mochila de Camping;Esporte;173.84;5;Srta. Maysa Câmara;Centro-Oeste;Cartão de Crédito
6;14/06/2024;Ar-condicionado;Eletrodomésticos;2024.58;4;Luiza Albuquerque;Centro-Oeste;Dinheiro
7;02/08/2024;Cadeira;Móveis;225.05;3;Zoe Jesus;Norte;Boleto
8;08/04/2024;Liquidificador;Eletrodomésticos;403.67;1;Lucas Aragão;Sudeste;Pix
9;18/04/2025;Micro-ondas;Eletrodomésticos;659.09;5;Beatriz Pimenta;Sudeste;Cartão de Débito
10;07/02/2023;Ar-condicionado;Eletrodomésticos;3434.49;4;Bruna Fernandes;Norte;Cartão de Débito
11;11/04/2025;Mochila de Camping;Esporte;142.0;4;Bruna da Cunha;Nordeste;Cartão de Crédito
12;23/02/2024;Fogão;Eletrodomésticos;1790.33;5;José Pedro Silveira;Sul;Pix
13;29/08/2024;Fone de Ouvido;Eletrônicos;200.83;1;Ana Júlia Costa;Sudeste;Boleto
14;26/01/2024;Sofá;Móveis;1828.24;4;Hellena Siqueira;Centro-Oeste;Dinheiro
15;07/11/2024;Monitor;Eletrônicos;1360.21;3;Murilo Alves;Centro-Oeste;Cartão de Débito
16;13/01/2023;Notebook;Eletrônicos;2097.46;2;Ana Beatriz da Paz;Nordeste;Boleto
17;24/12/2023;Estante;Móveis;733.99;4;Luiz Miguel Nunes;Sudeste;Dinheiro
18;08/04/2024;Estante;Móveis;1615.6;2;Fernando Caldeira;Norte;Dinheiro
19;28/05/2024;Liquidificador;Eletrodomésticos;217.71;2;Vitor Hugo Casa Grande;Norte;Boleto
20;27/11/2023;Cômoda;Móveis;825.02;3;Yasmin Costela;Centro-Oeste;Pix
21;19/09/2023;Camiseta;Vestuário;183.37;2;Felipe Pastor;Norte;Dinheiro
22;13/01/2025;Tênis;Vestuário;214.58;4;Dr. Rodrigo Sá;Sul;Pix
23;12/03/2023;Mochila de Camping;Esporte;183.74;1;Sara Dias;Norte;Cartão de Débito
24;14/12/2023;Sofá;Móveis;1759.08;3;Sra. Daniela Cavalcante;Centro-Oeste;Cartão de Débito
25;28/02/2024;Smartphone;Eletrônicos;1296.75;1;Dra. Luiza Aparecida;Centro-Oeste;Cartão de Crédito
26;22/05/2023;Cômoda;Móveis;678.3;2;Arthur Gabriel Araújo;Norte;Pix
27;22/10/2024;Casaco;Vestuário;233.49;2;Yasmin Jesus;Norte;Boleto
28;11/08/2023;Bola de Futebol;Esporte;157.3;5;Dr. Renan Vasconcelos;Nordeste;Boleto
29;30/08/2024;Ar-condicionado;Eletrodomésticos;3680.18;2;Sr. Cauê Pires;Nordeste;Pix
30;08/08/2024;Guarda-roupa;Móveis;822.25;2;Pietro Silva;Norte;Dinheiro
31;26/03/2023;Guarda-roupa;Móveis;1223.61;1;Bruno da Rocha;Norte;Cartão de Crédito
